pl_name,sy_mnum,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_dens,pl_rvamp
GJ 15 A c,0,2018,7600.00000000,6.670,36.00000,0.667000,2.500
GJ 160.2 b,0,2014,5.23540000,3.170,10.20000,1.760000,4.580
GJ 163 b,0,2013,8.63182000,3.250,10.60000,1.700000,6.130
GJ 163 c,0,2013,25.63058000,2.500,6.80000,2.390000,2.750
GJ 163 d,0,2013,603.95116000,5.920,29.40000,0.779000,4.420
GJ 179 b,0,2009,2288.00000000,13.900,260.61000,0.533000,25.800
GJ 180 b,0,2014,17.13300000,2.430,6.49000,2.490000,3.250
GJ 180 c,0,2014,24.32900000,2.410,6.40000,2.510000,2.310
GJ 180 d,0,2020,106.30000000,2.660,7.56000,2.210000,2.080
GJ 2030 b,0,2022,2.38128933,1.980,4.59248,3.250000,2.363
GJ 2030 c,0,2022,25533.11353048,12.300,4067.84698,12.000000,26.494
GJ 2056 b,0,2020,69.97100000,4.170,16.20000,1.230000,5.230
GJ 229 A c,0,2020,121.93267601,2.870,8.57613,1.990000,1.872
GJ 229 b,0,2014,579.47494672,3.960,14.85045,1.310000,1.966
GJ 251 b,0,2020,14.23800000,1.830,4.00000,3.590000,2.110
GJ 27.1 b,0,2014,15.81900000,3.660,13.00000,1.460000,4.900
GJ 273 b,0,2017,18.64980000,1.510,2.89000,4.610000,1.610
GJ 273 c,0,2017,4.72340000,1.060,1.18000,5.440000,1.060
GJ 3021 b,0,2000,133.71000000,13.100,1071.04000,2.620000,167.000
GJ 3082 b,0,2020,11.94900000,2.790,8.20000,2.070000,3.940
GJ 3090 b,0,2022,2.85313600,2.130,3.34000,1.890000,2.380
GJ 3138 b,0,2017,1.22003000,1.180,1.78000,5.950000,1.430
GJ 3138 c,0,2017,5.97400000,1.880,4.18000,3.460000,1.930
GJ 3138 d,0,2017,257.80000000,3.230,10.50000,1.710000,1.470
GJ 317 b,0,2007,695.66000000,13.300,794.50000,1.860000,71.810
GJ 317 c,0,2018,6739.32300000,13.500,522.50000,1.170000,31.970
GJ 3222 b,0,2022,10.66668640,3.450,11.73969,1.570000,9.601
GJ 328 b,0,2013,4100.00000000,13.300,731.00000,1.710000,40.000
GJ 3293 b,0,2015,30.59870000,5.190,23.54000,0.925000,8.603
GJ 3293 c,0,2015,122.61960000,4.870,21.09000,1.000000,4.891
GJ 3293 d,0,2017,48.13450000,2.670,7.60000,2.190000,2.420
GJ 3293 e,0,2017,13.25430000,1.630,3.28000,4.160000,1.658
GJ 3323 b,0,2017,5.36360000,1.230,2.02000,5.960000,2.550
GJ 3323 c,0,2017,40.54000000,1.320,2.31000,5.520000,1.490
GJ 3341 b,0,2015,14.20700000,2.460,6.60000,2.440000,3.040
GJ 338 B b,0,2020,24.45000000,3.190,10.27000,1.740000,3.070
GJ 3470 b,0,2012,3.33664960,4.570,13.90000,0.800000,13.400
GJ 3473 b,0,2020,1.19800350,1.264,1.86000,5.030000,2.210
GJ 3473 c,0,2020,15.50900000,2.630,7.41000,2.240000,3.750
GJ 3512 b,0,2019,203.69000000,14.300,146.20107,0.275000,71.800
GJ 3512 c,0,2020,1599.60000000,9.320,63.56568,0.431000,15.100
GJ 357 b,0,2019,3.93072000,1.217,1.84000,5.600000,1.520
GJ 357 c,0,2019,9.12470000,1.660,3.40000,4.080000,2.130
GJ 357 d,0,2019,55.66100000,2.340,6.10000,2.620000,2.090
GJ 3634 b,0,2010,2.64561000,2.830,8.40000,2.040000,5.590
GJ 367 b,0,2021,0.32196200,0.718,0.54600,8.106000,0.798
GJ 3779 b,0,2018,3.02320000,2.750,8.00000,2.110000,8.610
GJ 3929 b,0,2022,2.61623500,1.090,1.75000,7.300000,1.770
GJ 3929 c,0,2022,15.04000000,2.260,5.71000,2.720000,3.220
GJ 393 b,0,2021,7.02679000,1.170,1.71000,5.870000,1.010
GJ 3942 b,0,2017,6.90500000,2.570,7.14000,2.310000,3.290
GJ 3998 b,0,2016,2.64977000,1.380,2.47000,5.160000,1.820
GJ 3998 c,0,2016,13.74000000,2.380,6.26000,2.550000,2.670
GJ 411 b,0,2019,12.93940000,1.450,2.69000,4.850000,1.381
GJ 414 A b,0,2021,50.80000000,2.630,7.60000,2.300000,2.050
GJ 414 A c,0,2021,749.83000000,8.400,53.83000,0.499000,5.140
GJ 422 b,0,2014,20.12900000,3.330,11.07000,1.650000,4.470
GJ 4276 b,0,2019,13.35200000,4.220,16.57000,1.210000,8.790
GJ 433 b,0,2011,7.37050000,2.330,6.04300,2.630000,2.860
GJ 433 c,0,2014,5094.10500000,6.270,32.42200,0.723000,1.750
GJ 433 d,0,2020,36.05900000,2.140,5.22300,2.930000,1.460
GJ 436 b,0,2004,2.64388312,4.170,22.10000,1.800000,17.090
GJ 480 b,0,2020,9.56700000,3.690,13.20000,1.440000,6.800
GJ 486 b,0,2021,1.46711900,1.305,2.82000,7.000000,3.370
GJ 504 b,0,2013,,13.000,1271.30000,3.180000,
GJ 514 b,0,2022,140.43000000,2.130,5.20000,2.960000,1.150
GJ 536 b,0,2016,8.70760000,2.170,5.36000,2.880000,2.600
GJ 581 b,0,2005,5.36860000,4.110,15.80000,1.250000,12.600
GJ 581 c,0,2007,12.91400000,2.210,5.50000,2.800000,3.300
GJ 581 e,0,2009,3.14900000,1.170,1.70000,5.830000,1.700
GJ 625 b,0,2017,14.62800000,1.490,2.82000,4.680000,1.670
GJ 649 b,0,2009,598.30000000,12.500,104.24400,0.293000,12.400
GJ 667 C b,0,2011,7.20040000,2.230,5.60000,2.770000,3.930
GJ 667 C c,0,2011,28.14000000,1.770,3.80000,3.770000,1.710
GJ 667 C e,0,2013,62.24000000,1.450,2.70000,4.870000,0.920
GJ 667 C f,0,2013,39.02600000,1.450,2.70000,4.870000,1.080
GJ 667 C g,0,2013,256.20000000,1.990,4.60000,3.210000,0.950
GJ 674 b,0,2007,4.69380000,3.330,11.09000,1.650000,8.700
GJ 676 A b,0,2010,1051.44520601,12.800,1837.01057,4.810000,125.172
