pl_name,sy_mnum,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim
Kepler-1285 b,0,2016,14.79674580,0.00011340,-0.00011340,0,0.970,0.100,-0.080,0,0.87100,,,0,5.240000,,,0,0.00747,0.00017,-0.00036,0,,,,
Kepler-1286 b,0,2016,11.25402929,0.00006812,-0.00006812,0,2.150,0.450,-0.180,0,5.27000,,,0,2.910000,,,0,0.01994,0.00099,-0.00082,0,,,,
Kepler-1287 b,0,2016,11.47685909,0.00006466,-0.00006466,0,1.540,0.220,-0.130,0,2.99000,,,0,4.500000,,,0,0.01454,0.00083,-0.00056,0,,,,
Kepler-1288 b,0,2016,2.76122421,0.00001477,-0.00001477,0,1.120,0.470,-0.160,0,1.46000,,,0,5.710000,,,0,0.00772,0.00021,-0.00036,0,,,,
Kepler-1289 b,0,2016,7.99019627,0.00005083,-0.00005083,0,1.520,0.490,-0.240,0,2.92000,,,0,4.570000,,,0,0.01221,0.00065,-0.00036,0,,,,
Kepler-129 b,0,2014,15.79000000,,,0,2.400,0.040,-0.040,0,20.00000,,,1,8.100000,,,1,0.01316,0.00015,-0.00015,0,4.500,,,1
Kepler-129 c,0,2014,82.20000000,,,0,2.520,0.070,-0.070,0,43.00000,13.00000,-12.00000,0,14.800000,4.300000,-4.300000,0,0.01382,0.00033,-0.00021,0,5.500,1.600,-1.600,0
Kepler-129 d,0,2021,2646.00000000,140.00000000,-94.00000000,0,12.600,,,0,2637.97578,349.61125,-222.47988,0,7.250000,,,0,,,,,106.000,17.000,-10.000,0
Kepler-1290 b,0,2016,4.69500134,0.00004206,-0.00004206,0,1.420,0.210,-0.130,0,2.60000,,,0,4.990000,,,0,0.01448,0.00085,-0.00064,0,,,,
Kepler-1291 b,0,2016,8.63043276,0.00006731,-0.00006731,0,1.660,0.100,-0.180,0,3.39000,,,0,4.070000,,,0,0.01876,0.00015,-0.00171,0,,,,
